split_percentage,run,epoch,loss,train,valid,test,key
20, 01,141,0.5430,5.83,5.15,4.24,Hits@10
20, 01,141,0.5430,14.44,13.22,12.16,Hits@20
20, 01,141,0.5430,17.76,16.45,15.29,Hits@30
20, 01,142,0.5383,6.09,5.49,2.86,Hits@10
20, 01,142,0.5383,12.72,11.46,9.99,Hits@20
20, 01,142,0.5383,15.12,13.68,15.02,Hits@30
20, 01,143,0.5344,4.64,3.95,3.86,Hits@10
20, 01,143,0.5344,9.63,8.45,6.93,Hits@20
20, 01,143,0.5344,13.52,11.91,10.55,Hits@30
20, 01,144,0.5385,4.40,3.63,5.89,Hits@10
20, 01,144,0.5385,11.96,10.48,8.41,Hits@20
20, 01,144,0.5385,16.04,14.36,12.32,Hits@30
20, 01,145,0.5370,6.85,6.34,1.57,Hits@10
20, 01,145,0.5370,11.99,10.85,8.71,Hits@20
20, 01,145,0.5370,15.38,13.95,12.53,Hits@30
20, 01,146,0.5335,5.52,4.58,6.01,Hits@10
20, 01,146,0.5335,12.83,11.36,12.49,Hits@20
20, 01,146,0.5335,15.98,14.55,15.92,Hits@30
20, 01,147,0.5344,5.89,5.06,6.73,Hits@10
20, 01,147,0.5344,14.70,13.53,11.22,Hits@20
20, 01,147,0.5344,16.85,15.54,14.66,Hits@30
20, 01,148,0.5337,10.80,10.02,3.94,Hits@10
20, 01,148,0.5337,16.38,15.35,11.85,Hits@20
20, 01,148,0.5337,19.44,18.25,14.48,Hits@30
20, 01,149,0.5307,6.66,5.77,5.02,Hits@10
20, 01,149,0.5307,15.52,14.48,8.88,Hits@20
20, 01,149,0.5307,18.92,17.52,14.73,Hits@30
20, 01,150,0.5298,7.44,6.53,3.83,Hits@10
20, 01,150,0.5298,12.28,11.00,7.58,Hits@20
20, 01,150,0.5298,16.07,14.39,11.08,Hits@30
20, 01,151,0.5256,4.76,4.02,5.74,Hits@10
20, 01,151,0.5256,12.47,11.09,7.90,Hits@20
20, 01,151,0.5256,16.59,15.06,11.67,Hits@30
20, 01,152,0.5236,5.26,4.43,5.37,Hits@10
20, 01,152,0.5236,10.25,8.98,10.48,Hits@20
20, 01,152,0.5236,13.99,12.35,12.73,Hits@30
20, 01,153,0.5274,10.45,9.64,1.83,Hits@10
20, 01,153,0.5274,16.55,15.43,10.84,Hits@20
20, 01,153,0.5274,20.36,19.05,14.79,Hits@30
20, 01,154,0.5242,8.62,7.90,1.01,Hits@10
20, 01,154,0.5242,14.87,13.88,9.25,Hits@20
